Query_number;doc_id;score
1;129018;4.529071807861328
1;352504;4.505681991577148
1;368279;4.498595714569092
1;131110;4.483983516693115
1;279717;4.380458831787109
1;37773;4.346657752990723
1;348831;4.342600345611572
1;195406;4.337324142456055
1;459158;4.331699371337891
1;148953;4.32360315322876
2;12807;8.21577262878418
2;195084;8.05452823638916
2;389103;8.039429664611816
2;406264;7.860110282897949
2;231539;7.775638580322266
2;173366;7.608726501464844
2;183715;7.492537498474121
2;20646;7.20264196395874
2;307018;6.816990375518799
2;249151;6.659024238586426
3;412243;20.78833770751953
3;5024;16.435157775878906
3;389228;15.054177284240723
3;22348;14.962423324584961
3;74214;14.563146591186523
3;446120;14.420623779296875
3;225163;14.326972007751465
3;240492;14.309530258178711
3;155797;13.916121482849121
3;10793;13.813004493713379
4;90548;13.093935012817383
4;215320;12.796501159667969
4;286212;12.512704849243164
4;446384;12.101614952087402
4;133122;11.8876371383667
4;169797;11.2765474319458
4;394572;10.809391975402832
4;400411;10.558876037597656
4;422050;10.337671279907227
4;217008;10.312161445617676
5;122303;7.6050190925598145
5;11766;7.5157575607299805
5;44508;7.500266075134277
5;350810;7.10296630859375
5;481987;7.0909929275512695
5;470526;7.0822224617004395
5;429555;6.912440299987793
5;258900;6.912440299987793
5;295851;6.883542060852051
5;319411;6.740628719329834
6;77104;10.125258445739746
6;389393;9.61966609954834
6;82131;9.598583221435547
6;248947;9.13357162475586
6;85102;9.109850883483887
6;342088;9.092118263244629
6;304843;8.995613098144531
6;294577;8.926070213317871
6;134634;8.917035102844238
6;324127;8.917035102844238
7;444818;12.163701057434082
7;116743;11.736344337463379
7;422407;11.384279251098633
7;29840;10.999016761779785
7;339379;10.491878509521484
7;453178;10.40987491607666
7;108290;10.386451721191406
7;94756;10.149283409118652
7;117751;10.077841758728027
7;248778;10.031556129455566
8;415854;11.787474632263184
8;102418;11.764710426330566
8;109001;11.577709197998047
8;14705;11.577709197998047
8;401711;11.367945671081543
8;323435;11.235918045043945
8;334887;11.235400199890137
8;403438;11.144872665405273
8;362404;10.901914596557617
8;405492;10.891946792602539
9;95059;26.778669357299805
9;102770;24.03449058532715
9;325779;19.234596252441406
9;382221;17.831424713134766
9;357689;17.495756149291992
9;62523;17.15782356262207
9;255713;15.20212173461914
9;359521;15.138742446899414
9;99688;14.575167655944824
9;108018;14.377687454223633
10;327742;7.052836894989014
10;137500;7.052191257476807
